1976 US Standard Atmosphere, tabulated
Altitude (km)	Pressure (Pa)	T (K)         	Rho (kg/M^2)	mu (cP) 	SonicVel (m/s)	
0.00000000	101325.00000000	288.14999390	1.22499918	0.01789380	340.29410418
1.00000000	89874.57027130	281.64999390	1.11164183	0.01757845	336.43408624
2.00000000	79495.21509240	275.14999390	1.00648958	0.01725961	332.52926402
3.00000000	70108.54410349	268.64999390	0.90912147	0.01693719	328.57804016
4.00000000	61640.23462290	262.14999390	0.81912887	0.01661108	324.57872007
5.00000000	54019.91133923	255.64999390	0.73611536	0.01628118	320.52950342
6.00000000	47181.02674616	249.14999390	0.65969669	0.01594739	316.42847471
7.00000000	41060.74233370	242.64999390	0.58950068	0.01560960	312.27359263
8.00000000	35599.81054993	236.14999390	0.52516715	0.01526770	308.06267819
9.00000000	30742.45754836	229.64999390	0.46634781	0.01492157	303.79340141
10.00000000	26435.99853516	223.14999390	0.41270206	0.01457109	299.46326617
11.00000000	22632.00073242	216.64999390	0.36391677	0.01421613	295.06959320
12.00000000	19330.35094750	216.64999390	0.31082709	0.01421613	295.06959320
13.00000000	16510.35947601	216.64999390	0.26548235	0.01421613	295.06959320
14.00000000	14101.76001291	216.64999390	0.22675269	0.01421613	295.06959320
15.00000000	12044.53699211	216.64999390	0.19367307	0.01421613	295.06959320
16.00000000	10287.43016627	216.64999390	0.16541924	0.01421613	295.06959320
17.00000000	8786.65734475	216.64999390	0.14128720	0.01421613	295.06959320
18.00000000	7504.82346380	216.64999390	0.12067564	0.01421613	295.06959320
19.00000000	6409.98880609	216.64999390	0.10307098	0.01421613	295.06959320
20.00000000	5474.80010986	216.64999390	0.08803338	0.01421613	295.06959320
21.00000000	4677.81048825	217.64999390	0.07487240	0.01427104	295.74979143
22.00000000	3999.72548551	218.64999390	0.06372627	0.01432583	296.42842885
23.00000000	3422.37894077	219.64999390	0.05427936	0.01438052	297.10551616
24.00000000	2930.44471560	220.64999390	0.04626658	0.01443510	297.78106393
25.00000000	2510.98268133	221.64999390	0.03946515	0.01448957	298.45508261
26.00000000	2153.05887355	222.64999390	0.03368767	0.01454394	299.12758254
27.00000000	1847.42744054	223.64999390	0.02877639	0.01459820	299.79857394
28.00000000	1586.26411960	224.64999390	0.02459840	0.01465236	300.46806692
29.00000000	1362.94271537	225.64999390	0.02104166	0.01470641	301.13607147
30.00000000	1171.80004120	226.64999390	0.01801091	0.01476035	301.80259747
31.00000000	1008.17477639	227.64999390	0.01542787	0.01481419	302.46765470
32.00000000	868.01004410	228.64999390	0.01322487	0.01486793	303.13125283
33.00000000	748.22078603	231.44999385	0.01126187	0.01501785	304.98164611
34.00000000	646.11578682	234.24999380	0.00960879	0.01516696	306.82088013
35.00000000	558.91796585	237.04999375	0.00821383	0.01531529	308.64915440
36.00000000	484.31189872	239.84999371	0.00703434	0.01546283	310.46666251
37.00000000	420.36291744	242.64999366	0.00603506	0.01560960	312.27359247
38.00000000	365.45109976	245.44999361	0.00518685	0.01575561	314.07012685
39.00000000	318.21727906	248.24999356	0.00446552	0.01590086	315.85644303
40.00000000	277.51998901	251.05000305	0.00385099	0.01604537	317.63271944
41.00000000	242.39412059	253.85000300	0.00332646	0.01618914	319.39911159
42.00000000	212.02868314	256.65000296	0.00287800	0.01633218	321.15578853
43.00000000	185.73676686	259.45000291	0.00249392	0.01647451	322.90290883
44.00000000	162.93648258	262.25000286	0.00216442	0.01661612	324.64062677
45.00000000	143.13402105	265.05000281	0.00188128	0.01675703	326.36909255
46.00000000	125.90958462	267.85000277	0.00163759	0.01689725	328.08845240
47.00000000	110.89999676	270.64999390	0.00142745	0.01703678	329.79884335
48.00000000	97.74894343	270.64999390	0.00125818	0.01703678	329.79884335
49.00000000	86.15740506	270.64999390	0.00110898	0.01703678	329.79884335
50.00000000	75.94400048	270.64999390	0.00097751	0.01703678	329.79884335
51.00000000	66.93800092	270.64999390	0.00086159	0.01703678	329.79884335
52.00000000	58.96139349	267.84999394	0.00076686	0.01689725	328.08844700
53.00000000	51.86610756	265.04999399	0.00068170	0.01675703	326.36908712
54.00000000	45.56256758	262.24999404	0.00060524	0.01661612	324.64062131
55.00000000	39.96949334	259.44999409	0.00053668	0.01647451	322.90290334
56.00000000	35.01320823	256.64999413	0.00047526	0.01633218	321.15578301
57.00000000	30.62699863	253.84999418	0.00042031	0.01618914	319.39910604
58.00000000	26.75052125	251.04999423	0.00037120	0.01604537	317.63271386
59.00000000	23.32925519	248.24999428	0.00032738	0.01590086	315.85644348
60.00000000	20.31400055	245.44999695	0.00028832	0.01575561	314.07012899
61.00000000	17.66039188	242.64999700	0.00025355	0.01560960	312.27359462
